Nome,Caminho,Pasta,Extensao,Largura,Altura,Proporcao,Orientacao,Tamanho_MB,Perfil_Cor,Resolucao_Web,Uso_Desktop,Uso_Mobile,Exact_Hash,Perceptual_Hash
"StorySaver.to_610742926_18309252985301970_803145585679421449_n.jpg","JUNDU-ITAGUA/StorySaver.to_610742926_18309252985301970_803145585679421449_n.jpg","JUNDU-ITAGUA",".jpg",1290,1660,0.78,"Vertical",0.69,"Não","Insuficiente","Não","Sim","5f66cca9c59b2586e8c29410ef0f0a89","1bde6a5b828c1834"
"unnamed (11).webp","JUNDU-ITAGUA/unnamed (11).webp","JUNDU-ITAGUA",".webp",680,453,1.50,"Horizontal",0.08,"Não","Insuficiente","Não","Não","ae48faad3a56f07b1ff82f7fdfb45298","e662e1b22824b581"
"unnamed.webp","JUNDU-ITAGUA/unnamed.webp","JUNDU-ITAGUA",".webp",680,460,1.48,"Horizontal",0.08,"Não","Insuficiente","Não","Não","ec11cceba066c045f53d0b55d39c0daf","8e0e48c8848c4c24"
"VIDEO-CHEFE.mp4","JUNDU-ITAGUA/VIDEO-CHEFE.mp4","JUNDU-ITAGUA",".mp4",0,0,,"Unknown (Video)",18.40,"Não","N/A","Não","Não","d75d3b6cb46321dea1fd95531bce4141",""
"VIDEO-JUNDU.mp4","JUNDU-ITAGUA/VIDEO-JUNDU.mp4","JUNDU-ITAGUA",".mp4",0,0,,"Unknown (Video)",4.62,"Não","N/A","Não","Não","f687b521d98aabdbc1066a119b056e4a",""
"VIDEO-PREPARO-DE-PIZZA-JUNDU.mp4","JUNDU-ITAGUA/VIDEO-PREPARO-DE-PIZZA-JUNDU.mp4","JUNDU-ITAGUA",".mp4",0,0,,"Unknown (Video)",3.46,"Não","N/A","Não","Não","292d3de0afa57c814ed4841736232ddf",""
"StorySaver.to_484738627_969496288713901_2086953091464739034_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_484738627_969496288713901_2086953091464739034_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1385,1385,1.00,"Square",0.65,"Não","Insuficiente","Não","Sim","a6ef1d6b46023a35567fca80fc3508a5","ab240480b2078661"
"StorySaver.to_485611499_972703038393226_5175338758613486274_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_485611499_972703038393226_5175338758613486274_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1545,1930,0.80,"Vertical",0.56,"Não","Suficiente","Sim","Sim","dfd871e30440e93bfe6252d4be579646","9819141e07197787"
"StorySaver.to_491496994_18047744786595984_5731520842196237599_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_491496994_18047744786595984_5731520842196237599_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1290,1612,0.80,"Vertical",0.55,"Não","Insuficiente","Não","Sim","e28c058fc1009ad69087854012007231","cdd91e2b2b3b0c9d"
"StorySaver.to_491896170_18047744768595984_955804175074530251_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_491896170_18047744768595984_955804175074530251_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1290,1612,0.80,"Vertical",0.56,"Não","Insuficiente","Não","Sim","414cde293ec01d58396e564edc19f543","cdcd4c0b2b3b0f9c"
"StorySaver.to_515107587_18056519282595984_3520845427664527488_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_515107587_18056519282595984_3520845427664527488_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1290,1612,0.80,"Vertical",0.46,"Não","Insuficiente","Não","Sim","b8ceb75ac88ad60bc7a7361b3cfef9af","63633cdd1b78f063"
"StorySaver.to_516553027_18056519273595984_1724116575312299265_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_516553027_18056519273595984_1724116575312299265_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1290,1612,0.80,"Vertical",0.37,"Não","Insuficiente","Não","Sim","48ffa0acbe801c289da56c68fefd8f2b","4586e68b14349cd5"
"StorySaver.to_568473403_18070054253595984_6296485640740795499_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_568473403_18070054253595984_6296485640740795499_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1918,0.75,"Vertical",0.40,"Sim","Insuficiente","Sim","Sim","44ac82af7ee9356ed9a2a21d6e8a178f","d34bc2385d49ec3c"
"StorySaver.to_590409498_18073662884595984_2427665442477729828_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_590409498_18073662884595984_2427665442477729828_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1290,1611,0.80,"Vertical",0.54,"Não","Insuficiente","Não","Sim","06d20305c454110c7309131485d5ccd4","f9dd461339f0c917"
"StorySaver.to_590409873_18073662893595984_9037047992412483446_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_590409873_18073662893595984_9037047992412483446_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1290,1608,0.80,"Vertical",0.68,"Não","Insuficiente","Não","Sim","7404863d6ff549f86e7265691075de8a","3f3fec6c4c3d6cc0"
"StorySaver.to_591146559_18074211020595984_4461194913665077667_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_591146559_18074211020595984_4461194913665077667_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1920,0.75,"Vertical",0.39,"Sim","Suficiente","Sim","Sim","3731716c74a25b69fbf28e25544cfa77","5ec125010a3e374f"
"StorySaver.to_591165529_18074211011595984_7860857277633002329_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_591165529_18074211011595984_7860857277633002329_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1920,0.75,"Vertical",0.52,"Sim","Suficiente","Sim","Sim","c171b8016b838e84e9fca838fcf26ccf","7148c90d191998c4"
"StorySaver.to_598847694_18075695777595984_7756685097725437442_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_598847694_18075695777595984_7756685097725437442_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1800,0.80,"Vertical",0.44,"Sim","Insuficiente","Sim","Sim","bbc79330b7365e3caeda47afaa49f76b","12c4e4aa9687868f"
"StorySaver.to_616376453_18078684461595984_4763076786779034574_n (1).jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_616376453_18078684461595984_4763076786779034574_n (1).jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1920,0.75,"Vertical",0.27,"Sim","Suficiente","Sim","Sim","34d7134edd85e2f3ebc1fe8d6720a5f3","4c4a0c0c0e0b2b95"
"StorySaver.to_616421521_18078684482595984_5584390838266220470_n (1).jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_616421521_18078684482595984_5584390838266220470_n (1).jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1920,0.75,"Vertical",0.17,"Sim","Suficiente","Sim","Sim","bba3bf3dd03bff955c979da8ac8eece7","f429b1b47437171e"
"StorySaver.to_616481648_18078684470595984_7620326785264929099_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_616481648_18078684470595984_7620326785264929099_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1920,0.75,"Vertical",0.34,"Sim","Suficiente","Sim","Sim","701363b3a2fa662a718ccafeb4f93485","b1735ccfc3894c64"
"StorySaver.to_626378659_18081080738595984_5609578866057375034_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_626378659_18081080738595984_5609578866057375034_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1920,0.75,"Vertical",0.57,"Sim","Suficiente","Sim","Sim","6c3a2082837255547b5c2395df0a0f9e","959ed78ece7db1f1"
"StorySaver.to_628252515_18081080747595984_9174253374313636567_n.jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_628252515_18081080747595984_9174253374313636567_n.jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1920,0.75,"Vertical",0.48,"Sim","Suficiente","Sim","Sim","a7f62378e7f42322208c3e57e1440442","f9c7471d343c1d1f"
"StorySaver.to_637723344_18082618676595984_5431332261854962442_n (1).jpg","JUNDU-PRAIA-GRANDE/StorySaver.to_637723344_18082618676595984_5431332261854962442_n (1).jpg","JUNDU-PRAIA-GRANDE",".jpg",1440,1439,1.00,"Square",0.38,"Não","Insuficiente","Sim","Sim","6da6b8320c0246872e4fae739e75291f","a63232075319a6f5"
"StorySaver.to_AQOlaTxoGwLtAdEUPpNQVXdUFjgZi-a_yFsbS_YxRMDJnziGSUHz3owtTk2kcJB1Kh9lCZ3Kf4E8aJdOv8fYWZUM3Sa3Iq01ik-e4Jk.mp4","JUNDU-PRAIA-GRANDE/StorySaver.to_AQOlaTxoGwLtAdEUPpNQVXdUFjgZi-a_yFsbS_YxRMDJnziGSUHz3owtTk2kcJB1Kh9lCZ3Kf4E8aJdOv8fYWZUM3Sa3Iq01ik-e4Jk.mp4","JUNDU-PRAIA-GRANDE",".mp4",0,0,,"Unknown (Video)",7.70,"Não","N/A","Não","Não","7be4997ea839582d52c013916b859e24",""
"StorySaver.to_AQP56I3OJMdVar1v2Pypbo6XWNQZD5UGRnGgZHRxx-lvG1sN34XE65nB2rnB-e0JSwLjrlly4j-BCilbTkmE8g4emQB9AIAbe9J3-bI.mp4","JUNDU-PRAIA-GRANDE/StorySaver.to_AQP56I3OJMdVar1v2Pypbo6XWNQZD5UGRnGgZHRxx-lvG1sN34XE65nB2rnB-e0JSwLjrlly4j-BCilbTkmE8g4emQB9AIAbe9J3-bI.mp4","JUNDU-PRAIA-GRANDE",".mp4",0,0,,"Unknown (Video)",8.31,"Não","N/A","Não","Não","ebee687c0bb7977966e460b1b64411c6",""
"StorySaver.to_AQPwoJ8a0ej2RQYC5-6s9e8aD0e6POT-OJGfCwogjy6cte1m8q-M80-NDDzoSQlIQ0tyM4AKCvQpcv_LMiiAAloECCtqgT7UBXM3Mcs.mp4","JUNDU-PRAIA-GRANDE/StorySaver.to_AQPwoJ8a0ej2RQYC5-6s9e8aD0e6POT-OJGfCwogjy6cte1m8q-M80-NDDzoSQlIQ0tyM4AKCvQpcv_LMiiAAloECCtqgT7UBXM3Mcs.mp4","JUNDU-PRAIA-GRANDE",".mp4",0,0,,"Unknown (Video)",5.03,"Não","N/A","Não","Não","adfaccc958584e99d4b6f91b08068181",""
"VIDEO-DO-RESTAURANTE.mp4","JUNDU-PRAIA-GRANDE/VIDEO-DO-RESTAURANTE.mp4","JUNDU-PRAIA-GRANDE",".mp4",0,0,,"Unknown (Video)",7.14,"Não","N/A","Não","Não","5c5af94dc7f7e1952245e9e485161ed0",""
"StorySaver.to_488223199_1070756771765497_5799368077619774480_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_488223199_1070756771765497_5799368077619774480_n.jpg","JUNDU-PRUMIRIM",".jpg",1630,2038,0.80,"Vertical",0.41,"Não","Suficiente","Sim","Sim","ce8f294eed1880a996c81c5553fbc25c","e68789d9d1209aed"
"StorySaver.to_488648206_1070756808432160_3050275158522562315_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_488648206_1070756808432160_3050275158522562315_n.jpg","JUNDU-PRUMIRIM",".jpg",1639,2047,0.80,"Vertical",0.36,"Não","Suficiente","Sim","Sim","d6cac931dca7f0ea99b27c81983defd3","69f7e7ed89cc1625"
"StorySaver.to_563898259_18532175941017293_4848122199714203358_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_563898259_18532175941017293_4848122199714203358_n.jpg","JUNDU-PRUMIRIM",".jpg",1440,1800,0.80,"Vertical",0.12,"Sim","Insuficiente","Sim","Sim","f4960a4065ac1937a8c3b069c14b1dcb","7f4f8f66eecd3c99"
"StorySaver.to_569957579_18534904861017293_5826809325530341544_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_569957579_18534904861017293_5826809325530341544_n.jpg","JUNDU-PRUMIRIM",".jpg",1440,1800,0.80,"Vertical",0.48,"Sim","Insuficiente","Sim","Sim","433cdb3021cbb1bf4be40e06b12e96f1","1234446dd9c7b386"
"StorySaver.to_571453473_18534904870017293_226220910000315993_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_571453473_18534904870017293_226220910000315993_n.jpg","JUNDU-PRUMIRIM",".jpg",1440,1800,0.80,"Vertical",0.24,"Sim","Insuficiente","Sim","Sim","67bc2c155bcf8732c298cf57f23ae58d","2efec8e127917703"
"StorySaver.to_694139309_18586699207017293_6595431094795227754_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_694139309_18586699207017293_6595431094795227754_n.jpg","JUNDU-PRUMIRIM",".jpg",3277,4096,0.80,"Vertical",1.98,"Não","Suficiente","Sim","Sim","38acd4bb781896651ce86840670e5e98","1036311f596cc61"
"StorySaver.to_696735633_18586699216017293_383889172557903618_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_696735633_18586699216017293_383889172557903618_n.jpg","JUNDU-PRUMIRIM",".jpg",3277,4096,0.80,"Vertical",2.22,"Não","Suficiente","Sim","Sim","4d768083325bb7b7c4e3190bc2d62214","387cc4c3f1d1ef6"
"StorySaver.to_730487466_18601456093017293_4454378349027922036_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_730487466_18601456093017293_4454378349027922036_n.jpg","JUNDU-PRUMIRIM",".jpg",3413,4096,0.83,"Vertical",2.55,"Não","Suficiente","Sim","Sim","3a577f850fab32f1eb9eb0d63fc219ff","96d7c11952431119"
"StorySaver.to_731068035_18601456084017293_7986508728160276833_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_731068035_18601456084017293_7986508728160276833_n.jpg","JUNDU-PRUMIRIM",".jpg",3413,4096,0.83,"Vertical",1.42,"Não","Suficiente","Sim","Sim","ab6d589ea2284a79f8d6d24bb2710eb0","5012e1b58ae60737"
"StorySaver.to_731068381_18601456075017293_6111287610673985306_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_731068381_18601456075017293_6111287610673985306_n.jpg","JUNDU-PRUMIRIM",".jpg",3413,4096,0.83,"Vertical",3.16,"Não","Suficiente","Sim","Sim","7adaabb405cf57fa4939f81d5116e681","62ecbc7313f75b2f"
"StorySaver.to_731823693_18601456102017293_8009199597234985734_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_731823693_18601456102017293_8009199597234985734_n.jpg","JUNDU-PRUMIRIM",".jpg",3413,4096,0.83,"Vertical",2.30,"Não","Suficiente","Sim","Sim","8fc2659b386035487be2085c96263db2","b6b4fc383f9f6f7d"
"StorySaver.to_763249548_18612450874017293_3345356642985019119_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_763249548_18612450874017293_3345356642985019119_n.jpg","JUNDU-PRUMIRIM",".jpg",3277,4096,0.80,"Vertical",2.80,"Não","Suficiente","Sim","Sim","17f6777fa17777cc71a90d6a75f72c4e","7d7c7e261c360406"
"StorySaver.to_763374341_18612450883017293_2177514264657989355_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_763374341_18612450883017293_2177514264657989355_n.jpg","JUNDU-PRUMIRIM",".jpg",3277,4096,0.80,"Vertical",3.88,"Não","Suficiente","Sim","Sim","f559feb98334691b1fd8b100eb609d73","4d46323b1d5d1dc9"
"StorySaver.to_763587307_18612450862017293_6533191369102594911_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_763587307_18612450862017293_6533191369102594911_n.jpg","JUNDU-PRUMIRIM",".jpg",3268,4096,0.80,"Vertical",3.81,"Não","Suficiente","Sim","Sim","064856d97db1c2213666acb4986c9d13","121918bee54d494b"
"StorySaver.to_801580903_18625023316017293_8662395665406183694_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_801580903_18625023316017293_8662395665406183694_n.jpg","JUNDU-PRUMIRIM",".jpg",3548,4096,0.87,"Vertical",3.34,"Não","Suficiente","Sim","Sim","030bcfa6352fd76ddca43f3a1db03901","13b9b883e1893"
"StorySaver.to_801580921_18625023292017293_89867696009660897_n.jpg","JUNDU-PRUMIRIM/StorySaver.to_801580921_18625023292017293_89867696009660897_n.jpg","JUNDU-PRUMIRIM",".jpg",3548,4096,0.87,"Vertical",3.68,"Não","Suficiente","Sim","Sim","2e980ef607464d8ce914d36ac523ad64","78f0e81b1ecccb4"
"VIDEO-DO-RESTAURANTE.mp4","JUNDU-PRUMIRIM/VIDEO-DO-RESTAURANTE.mp4","JUNDU-PRUMIRIM",".mp4",0,0,,"Unknown (Video)",10.65,"Não","N/A","Não","Não","dea68b3fdecdfc5bdc27982ef69a05b0",""
"Red Beach Club.jpg","Red Beach Club/Red Beach Club.jpg","Red Beach Club",".jpg",1440,1800,0.80,"Vertical",0.75,"Sim","Insuficiente","Sim","Sim","8b25e14b6b7b79407792a16ac8ca57c5","f5ffef76efee769f"
"Red Beach Club2.jpg","Red Beach Club/Red Beach Club2.jpg","Red Beach Club",".jpg",1440,1800,0.80,"Vertical",0.70,"Sim","Insuficiente","Sim","Sim","d0dc02c0811c3d2f9cb9b3a6e53eec3d","cd173f0b06f6f78c"
